slope_angle,wolf_prob,rain_mm,cold_resistance,is_safe
44.01,0.805,22.87,Low,0
33.94,0.789,50.86,Low,0
46.33,0.285,0.0,High,1
20.98,0.321,21.21,High,1
20.3,0.073,0.0,Medium,1
37.47,0.161,13.2,High,1
21.94,0.162,0.0,High,1
13.76,0.0,36.61,Low,1
16.24,0.127,8.13,Medium,1
8.21,0.152,115.34,Medium,1
54.93,0.341,39.18,Low,0
39.06,0.656,38.2,Medium,0
33.99,0.536,10.4,Medium,1
24.26,0.0,63.45,Low,0
19.27,0.277,35.81,High,1
19.93,0.101,8.97,Medium,1
16.09,0.245,63.09,Low,1
21.69,0.625,5.37,Medium,1
11.08,0.131,12.97,High,1
54.72,0.268,0.0,Medium,1
51.33,0.327,40.58,Low,1
42.6,0.565,21.54,High,1
59.08,0.559,92.38,High,0
13.76,0.69,14.73,Medium,1
16.02,0.759,41.15,High,1
7.46,0.077,2.44,Medium,1
54.35,0.254,3.74,Medium,1
17.08,0.24,44.55,Low,1
17.25,0.391,40.71,Medium,0
44.07,0.174,54.18,Medium,0
41.3,0.448,39.64,Low,0
59.05,0.284,32.66,Medium,0
22.41,0.101,25.05,Medium,1
43.19,0.318,9.79,Medium,1
20.18,0.23,68.28,Medium,0
54.59,0.591,76.24,Low,0
21.54,0.0,17.83,Low,1
34.53,0.311,27.63,Medium,0
37.87,0.604,43.79,Low,1
34.58,0.038,18.85,Medium,1
43.54,0.234,13.79,Medium,1
42.09,0.362,38.56,Medium,0
22.39,0.256,61.55,Low,0
16.25,0.202,10.74,Medium,1
37.16,0.305,59.81,Low,0
47.45,0.212,6.71,Medium,1
11.43,0.795,22.87,High,1
39.28,0.07,11.97,High,1
14.73,0.0,7.55,Medium,1
58.98,0.226,5.51,Medium,1
22.87,0.549,39.26,Medium,1
15.27,0.042,2.85,Medium,1
22.31,0.432,18.39,High,1
17.06,0.049,43.42,Medium,0
42.61,0.301,78.43,Low,0
62.22,0.545,92.84,Medium,0
47.24,0.607,63.74,Medium,0
56.11,0.289,64.94,Medium,0
20.66,0.153,0.0,High,1
19.22,0.231,44.2,Medium,1
36.76,0.172,37.51,Medium,1
46.91,0.28,14.37,Low,1
12.53,0.189,56.87,Low,1
4.59,0.138,86.58,Low,1
51.43,0.419,12.5,Low,1
23.35,0.218,8.51,High,1
25.8,0.381,50.88,Medium,0
15.05,0.268,7.17,Medium,1
52.67,0.515,59.52,Medium,0
22.67,0.462,35.12,Medium,1
33.7,0.495,107.32,Medium,0
45.14,0.595,30.29,Medium,0
55.03,0.0,14.01,Medium,1
13.25,0.115,17.69,High,1
16.82,0.158,37.57,High,1
17.36,0.44,7.69,High,1
10.66,0.673,25.03,Low,1
28.97,0.27,19.51,Low,1
14.49,0.899,26.19,Low,0
11.06,0.137,80.87,Medium,1
38.88,0.289,108.24,Low,1
18.25,0.393,13.5,Low,1
1.0,0.196,18.15,High,1
18.62,0.045,16.95,Medium,1
43.01,0.547,30.76,Low,0
33.16,0.668,19.99,Medium,1
5.42,0.27,14.58,Medium,1
16.17,0.012,18.45,Medium,1
45.07,0.102,0.0,High,1
46.39,0.436,1.35,High,1
17.27,0.044,33.43,Low,1
18.17,0.291,110.0,High,0
23.41,0.141,20.41,Medium,1
4.98,0.0,26.45,High,1
34.26,0.39,14.61,Medium,1
21.89,0.26,18.73,Medium,1
50.46,0.188,19.39,High,1
51.38,0.104,0.03,Medium,1
23.13,0.077,42.72,Medium,1
64.62,0.142,13.6,Medium,1
21.68,0.581,49.68,Medium,0
5.9,0.226,25.3,Medium,1
29.97,0.5,30.2,Medium,0
40.72,0.158,4.6,High,1
23.07,0.307,93.83,High,0
8.58,0.085,22.34,High,1
20.33,0.854,0.0,Medium,1
19.43,0.331,57.4,Medium,0
1.0,0.335,10.2,Low,1
41.26,0.548,50.29,Low,0
16.3,0.236,11.88,Medium,1
27.12,0.585,74.82,Medium,0
41.54,0.006,37.7,Low,0
27.29,0.305,103.72,Medium,0
24.33,0.056,4.08,High,1
39.74,0.133,12.18,High,1
46.61,0.251,8.8,Medium,1
13.57,0.168,10.06,High,1
24.88,0.274,12.69,Medium,1
29.09,0.503,48.19,Low,0
18.3,0.167,17.24,Medium,1
40.21,0.37,61.58,Medium,0
6.01,0.052,10.5,High,1
38.02,0.335,10.54,Medium,1
11.05,0.194,2.18,Medium,0
45.11,0.49,63.21,Low,0
4.59,0.099,17.56,High,1
21.61,0.024,0.0,Medium,1
35.0,0.278,12.03,Medium,1
43.13,0.29,13.4,Low,1
14.22,0.319,75.36,Medium,1
44.96,0.255,54.25,Medium,0
38.27,0.505,17.48,Low,1
17.13,0.014,25.33,Medium,1
32.96,0.352,22.71,High,1
51.85,0.591,123.39,Low,0
42.62,0.268,57.65,Medium,0
40.99,0.604,53.67,Low,0
5.56,0.032,16.38,High,1
22.88,0.214,53.15,High,1
39.27,0.056,2.66,Low,1
26.35,0.485,8.78,Low,1
48.57,0.592,87.33,Medium,0
1.82,0.099,2.81,Medium,1
52.71,0.391,16.94,Medium,0
45.77,0.469,90.42,Medium,0
1.0,0.124,0.42,Medium,0
16.24,0.102,5.54,High,1
30.91,0.377,24.75,Medium,1
15.39,0.854,46.13,Medium,0
20.83,0.129,5.76,Medium,1
52.31,0.24,22.36,Medium,0
59.48,0.121,18.68,Medium,1
1.0,0.154,7.64,Medium,1
30.11,0.232,55.87,Medium,0
45.01,0.227,26.98,Low,0
43.33,0.11,5.86,Medium,1
44.64,0.478,20.29,Low,0
18.64,0.625,14.29,Low,1
14.72,0.082,0.0,Medium,1
34.05,0.452,65.18,Medium,0
5.18,0.043,3.84,High,1
1.93,0.405,80.71,High,1
19.44,0.26,1.82,Medium,1
34.14,0.188,1.03,High,0
52.44,0.288,0.65,Medium,1
4.7,0.12,73.24,Medium,1
11.9,0.103,20.76,Medium,1
18.75,0.643,10.45,Medium,1
20.94,0.127,35.16,High,1
24.16,0.215,21.63,Low,1
51.11,0.293,23.3,Medium,1
17.43,0.689,26.16,Medium,1
43.64,0.164,30.46,High,1
33.52,0.082,10.98,High,1
41.39,0.358,10.58,Medium,1
20.82,0.168,54.52,Low,0
27.39,0.169,20.8,Medium,1
15.93,0.065,24.14,High,1
13.91,0.278,29.46,Low,1
3.63,0.026,4.9,Medium,1
41.83,0.427,29.5,High,1
33.03,0.147,12.82,Medium,1
25.08,0.427,17.67,Medium,1
49.99,0.303,33.73,High,0
15.77,0.034,34.5,Medium,1
37.8,0.6,34.41,Low,0
12.71,0.146,73.57,Medium,1
25.42,0.1,75.48,Medium,0
27.64,0.53,12.09,Medium,1
54.32,0.31,24.17,Medium,0
14.66,0.101,4.05,High,1
40.78,0.115,33.11,High,0
9.33,0.028,15.61,Medium,1
37.64,0.693,56.49,Medium,0
12.55,0.201,29.08,Medium,1
63.75,0.241,20.11,Medium,1
27.57,0.227,10.75,High,1
21.72,0.23,5.2,Medium,1
43.68,0.105,16.16,High,1
1.0,0.204,16.81,Medium,1
41.66,0.461,49.65,Low,0
56.48,0.129,0.0,High,1
54.07,0.013,19.12,Low,1
31.62,0.574,33.98,Medium,1
4.2,0.28,96.16,Low,0
34.56,0.837,63.11,Low,0
22.68,0.716,18.82,Low,1
11.67,0.448,76.09,Medium,1
48.77,0.618,91.07,High,0
10.95,0.247,39.23,High,1
11.38,0.072,43.67,High,1
52.55,0.008,21.36,Medium,1
18.91,0.13,5.74,High,0
15.41,0.357,15.06,High,1
10.69,0.0,33.18,Medium,1
26.13,0.195,50.42,Low,0
23.16,0.005,3.65,High,1
19.45,0.581,38.93,Medium,1
4.99,0.333,63.15,Medium,1
24.27,0.51,29.65,Medium,1
61.57,0.315,7.4,Medium,1
48.8,0.051,10.59,High,1
17.63,0.77,34.79,Medium,1
17.43,0.145,35.32,High,1
41.87,0.206,67.77,Medium,0
24.43,0.168,14.33,Medium,1
23.32,0.229,67.47,Medium,0
36.56,0.31,21.12,Medium,1
21.71,0.0,47.65,Low,0
52.49,0.15,12.99,Medium,1
35.2,0.589,19.23,Medium,1
37.7,0.666,39.77,Low,0
35.26,0.69,29.88,Medium,0
3.94,0.094,30.85,Medium,1
39.5,0.614,39.96,Medium,0
45.88,0.564,30.61,Medium,0
30.86,0.214,54.88,Medium,0
9.57,0.0,7.77,High,1
52.59,0.543,17.91,Low,0
25.94,0.373,47.74,Low,0
48.45,0.22,36.08,Low,0
27.06,0.602,85.38,Low,0
11.91,0.17,0.64,Medium,1
39.52,0.179,64.88,Low,0
12.63,0.059,14.65,High,1
25.42,0.764,28.78,Medium,1
19.91,0.075,61.68,Medium,0
43.58,0.119,25.39,Medium,1
26.69,0.106,10.57,High,1
9.54,0.126,40.47,Medium,1
11.68,0.079,6.82,Medium,1
30.21,0.9,25.52,Low,0
43.57,0.353,37.34,Medium,0
20.86,0.862,49.79,Medium,0
20.91,0.407,36.06,Low,0
20.55,0.365,33.32,Medium,1
40.73,0.844,37.98,Medium,0
23.05,0.083,90.05,Low,0
20.55,0.03,74.63,High,0
42.17,0.335,11.25,Low,0
50.94,0.194,18.11,Low,1
44.14,0.323,26.4,High,1
17.69,0.138,123.4,Medium,0
13.79,0.144,23.71,High,1
35.19,0.432,75.27,Medium,0
22.68,0.095,38.35,Medium,0
32.99,0.439,30.9,Low,0
46.88,0.559,7.39,Medium,1
1.0,0.643,34.81,Low,1
29.68,0.792,22.78,Low,1
52.94,0.606,37.17,Medium,0
46.87,0.18,8.38,High,1
29.84,0.065,11.07,High,1
36.69,0.698,42.06,High,0
48.39,0.0,24.87,High,1
21.02,0.043,3.59,Medium,1
36.72,0.355,4.64,Low,1
55.26,0.0,0.0,Medium,1
17.39,0.0,38.22,High,1
15.17,0.177,8.26,Medium,1
35.96,0.184,11.08,High,1
53.7,0.054,13.67,Medium,1
47.22,0.176,25.49,Medium,0
14.06,0.258,4.09,High,1
43.86,0.043,12.9,High,1
7.56,0.153,25.92,High,1
42.5,0.462,21.89,High,0
11.79,0.0,29.03,High,1
14.34,0.348,7.83,High,1
36.41,0.488,17.4,Low,1
8.32,0.1,10.12,High,1
16.58,0.281,46.17,Medium,1
35.45,0.402,26.03,High,1
23.77,0.075,2.66,Medium,1
38.33,0.473,48.72,Medium,0
15.41,0.023,65.1,High,1
24.18,0.71,39.23,Medium,0
36.84,0.15,21.0,Low,0
25.52,0.596,27.52,High,1
43.97,0.141,6.16,Medium,1
31.87,0.014,13.33,Medium,1
46.24,0.566,50.16,Medium,0
42.76,0.355,0.0,Medium,1
35.25,0.74,54.78,Low,0
50.22,0.42,82.99,Low,0
17.59,0.126,41.56,Medium,0
15.94,0.057,16.44,Medium,1
45.61,0.586,37.53,Medium,0
44.0,0.31,7.1,High,1
17.86,0.251,46.55,Medium,1
38.8,0.753,30.37,Medium,0
15.19,0.554,29.55,Low,1
22.91,0.296,67.83,Low,0
6.55,0.053,13.25,High,1
1.0,0.126,21.78,Medium,1
45.13,0.556,18.83,Low,0
8.12,0.072,2.67,High,1
65.0,0.435,3.72,High,1
6.78,0.255,15.53,Medium,1
6.08,0.087,44.95,Medium,0
33.77,0.728,53.8,Low,0
45.82,0.115,7.87,Medium,1
28.78,0.212,27.66,Medium,1
20.75,0.711,54.33,Medium,0
28.74,0.252,65.25,Low,0
13.16,0.022,20.11,High,1
47.47,0.536,70.27,High,0
15.6,0.134,4.69,Medium,1
64.53,0.571,88.38,Low,0
16.98,0.474,41.12,Medium,1
23.0,0.176,56.27,Medium,1
9.94,0.304,51.11,Medium,1
25.55,0.535,54.63,Medium,0
54.46,0.242,29.45,High,0
28.88,0.661,16.5,Low,1
21.09,0.134,75.39,Low,0
22.96,0.092,31.24,Medium,1
25.97,0.319,14.69,Low,1
19.84,0.532,30.55,Medium,1
5.96,0.111,13.19,High,1
27.58,0.527,36.73,Medium,0
41.1,0.631,37.83,Medium,0
23.16,0.076,29.04,Low,1
9.93,0.619,43.06,Low,1
56.93,0.576,73.64,Low,0
48.35,0.152,20.54,Medium,1
32.03,0.527,29.23,Low,0
12.2,0.133,5.84,High,1
14.24,0.09,33.82,Low,1
31.51,0.359,10.09,Medium,1
53.06,0.364,28.64,High,0
12.14,0.162,61.44,Medium,1
16.13,0.433,7.88,Medium,1
51.24,0.052,19.7,Medium,1
31.79,0.1,76.35,Medium,0
11.85,0.234,7.6,High,1
19.68,0.433,60.71,Low,1
34.28,0.735,56.39,Low,0
10.49,0.093,3.43,High,1
14.0,0.257,79.7,Low,0
38.21,0.726,53.11,Medium,0
43.44,0.29,9.15,Low,1
49.78,0.11,28.43,Medium,0
28.12,0.087,33.21,High,1
35.54,0.627,55.3,High,0
31.44,0.581,55.68,Low,0
4.74,0.158,2.25,Medium,1
33.42,0.442,6.58,Medium,1
24.32,0.509,59.79,Medium,0
38.91,0.301,19.43,Low,1
12.27,0.168,29.51,Medium,0
23.03,0.296,52.37,Medium,0
29.19,0.139,8.13,Medium,1
43.22,0.382,27.67,Low,0
23.67,0.789,26.9,Medium,1
10.9,0.021,57.54,Low,1
58.08,0.219,4.38,Low,1
15.4,0.323,11.24,Medium,1
52.88,0.053,30.34,Low,0
57.79,0.302,34.63,High,0
40.72,0.36,50.57,Medium,0
27.23,0.804,2.96,Medium,1
61.43,0.047,5.26,Medium,1
16.7,0.183,16.28,Medium,1
12.01,0.162,11.88,High,1
20.62,0.125,57.04,Medium,1
46.99,0.824,54.22,Medium,0
28.83,0.134,111.65,Low,0
36.89,0.332,39.84,High,0
15.49,0.151,49.83,Medium,0
25.19,0.115,21.38,Medium,0
14.63,0.084,50.31,High,1
29.42,0.494,59.1,Medium,0
23.57,0.491,11.67,Low,1
48.45,0.354,42.14,High,0
31.54,0.058,13.5,Medium,1
61.29,0.343,18.94,Low,0
19.53,0.741,43.98,Low,0
1.56,0.0,60.56,Medium,1
45.33,0.056,16.79,Medium,1
24.74,0.4,150.0,Medium,0
47.7,0.602,115.79,Low,0
46.85,0.0,8.72,Low,1
19.83,0.334,0.0,Medium,1
19.44,0.321,51.41,Medium,1
28.06,0.047,18.89,Medium,1
33.34,0.481,27.03,Medium,0
49.44,0.326,13.44,Medium,0
20.23,0.151,40.2,Medium,1
19.77,0.1,10.87,Medium,1
38.79,0.166,14.07,High,1
19.76,0.082,28.7,Low,1
10.52,0.188,21.87,Medium,1
39.02,0.477,39.78,Low,0
59.41,0.12,63.7,Medium,0
13.79,0.107,7.19,High,1
42.24,0.462,36.26,High,0
52.48,0.169,16.4,Medium,1
45.54,0.401,67.03,Medium,0
19.2,0.302,53.89,Medium,0
39.13,0.031,2.67,High,1
25.57,0.084,46.64,High,1
16.97,0.0,7.91,Medium,0
48.15,0.084,55.22,Low,0
14.49,0.13,66.25,Medium,1
11.28,0.302,5.96,Medium,1
39.29,0.258,85.06,Low,0
38.98,0.593,52.78,Low,0
46.75,0.714,12.78,Low,0
14.08,0.063,14.68,High,1
27.83,0.648,20.9,High,1
44.04,0.214,11.33,Low,1
44.96,0.034,18.05,Medium,1
10.18,0.172,29.47,Medium,1
54.5,0.478,21.61,Medium,1
59.9,0.258,2.76,Medium,1
41.51,0.1,12.26,Medium,1
51.4,0.261,23.45,Medium,1
47.8,0.116,7.97,Medium,1
36.96,0.216,94.61,Medium,0
17.83,0.125,71.28,Medium,1
40.11,0.245,11.62,Medium,1
37.77,0.604,9.86,Low,1
22.77,0.299,22.65,Medium,1
30.87,0.418,4.84,Low,1
12.84,0.228,11.34,High,1
11.03,0.27,0.64,Medium,1
30.12,0.321,43.44,Low,0
21.09,0.022,22.13,Medium,1
2.57,0.373,11.94,Medium,1
18.83,0.091,20.03,High,1
13.24,0.0,61.58,Medium,1
25.69,0.085,10.03,Medium,1
36.6,0.245,1.42,Medium,1
33.28,0.71,46.88,Low,0
19.08,0.053,12.07,High,1
16.07,0.078,69.01,High,1
33.49,0.679,30.68,High,0
5.2,0.101,24.14,Low,1
24.84,0.789,7.48,Medium,1
36.12,0.319,5.36,High,1
39.17,0.402,142.95,Low,0
50.27,0.296,52.88,Low,0
8.6,0.142,42.58,Medium,1
51.83,0.442,68.01,Medium,0
36.15,0.471,54.74,High,0
56.31,0.136,12.33,Low,0
32.03,0.87,28.64,Low,0
37.48,0.409,6.78,Medium,1
54.54,0.481,20.61,High,1
39.82,0.463,56.7,High,0
15.81,0.18,48.02,Low,1
20.44,0.225,14.92,Medium,1
21.5,0.258,21.79,Medium,1
48.43,0.107,12.24,High,1
10.09,0.112,7.45,High,1
17.88,0.112,35.54,Medium,1
30.76,0.585,10.69,Low,1
5.58,0.151,15.5,High,1
44.26,0.096,9.25,High,1
20.17,0.479,10.86,Low,1
14.62,0.533,18.19,Medium,1
36.77,0.29,66.62,Medium,0
31.81,0.578,41.57,Low,0
53.67,0.264,4.82,Low,1
42.9,0.221,76.22,Medium,0
38.31,0.761,39.59,Low,0
15.67,0.093,86.97,Medium,0
29.06,0.369,31.97,Low,0
58.32,0.166,9.4,Medium,1
47.52,0.265,0.0,Low,1
11.64,0.535,2.89,Low,1
41.82,0.375,66.11,Medium,0
20.89,0.187,24.54,Low,1
30.23,0.856,41.17,Low,0
15.67,0.1,15.79,Medium,1
21.37,0.143,11.95,High,1
14.08,0.537,18.58,Low,1
6.33,0.062,10.98,Medium,1
29.03,0.013,32.34,Medium,1
24.56,0.062,18.12,High,1
45.63,0.585,38.0,High,1
44.88,0.841,15.71,Low,1
17.74,0.0,8.76,High,1
46.21,0.231,3.33,High,1
36.14,0.109,1.31,Medium,1
38.48,0.171,68.54,Low,0
9.97,0.179,130.54,Medium,0
35.37,0.138,23.68,High,1
21.21,0.666,88.02,Medium,0
30.43,0.145,14.84,Medium,1
50.05,0.07,5.62,Medium,1
37.24,0.471,126.54,Low,0
5.92,0.19,0.0,Medium,1
42.91,0.116,3.41,Low,1
48.08,0.134,24.73,Medium,0
49.32,0.541,18.87,Low,0
38.86,0.335,23.06,Medium,1
27.97,0.433,24.95,Medium,1
21.46,0.136,56.35,Medium,1
16.49,0.839,35.82,Medium,1
14.87,0.174,1.51,Medium,1
37.49,0.477,70.1,High,0
51.93,0.113,1.6,High,1
49.72,0.097,6.64,Low,1
40.42,0.179,13.31,Low,1
44.26,0.189,22.28,Low,0
17.83,0.207,35.61,High,1
33.41,0.416,73.94,Medium,0
41.98,0.732,34.78,Medium,0
17.3,0.558,13.66,High,1
55.48,0.448,54.18,High,0
11.8,0.066,41.52,Low,1
33.9,0.151,17.59,Low,1
1.0,0.043,10.59,Medium,1
45.91,0.383,60.05,Low,0
9.66,0.155,33.77,High,1
23.66,0.118,14.88,Medium,1
43.97,0.424,29.01,Medium,0
13.68,0.079,3.07,Medium,1
17.45,0.547,0.0,Low,1
28.26,0.152,37.96,Medium,1
53.27,0.088,12.7,High,1
23.64,0.501,64.96,High,1
40.93,0.732,26.42,Low,0
51.03,0.696,28.06,Low,0
54.54,0.173,6.05,High,1
5.37,0.021,7.46,Medium,1
62.2,0.08,19.12,High,1
25.79,0.772,128.51,Low,0
11.88,0.184,93.38,Medium,1
4.79,0.251,14.26,Medium,1
37.42,0.567,31.42,Medium,0
60.34,0.158,24.79,Low,0
55.39,0.115,11.61,Medium,1
28.5,0.211,56.53,High,0
23.16,0.698,23.34,Low,1
56.25,0.274,44.64,Low,0
19.84,0.072,7.54,Medium,1
14.81,0.0,35.78,Medium,1
15.62,0.078,39.36,Medium,1
10.39,0.461,17.7,Low,1
13.68,0.041,19.75,Low,1
28.53,0.801,9.89,Medium,1
32.0,0.203,0.0,Medium,1
38.48,0.697,38.83,Low,0
47.24,0.216,103.68,Medium,0
11.68,0.134,5.72,Medium,1
9.4,0.338,12.35,High,1
38.32,0.472,35.63,Low,0
21.85,0.168,2.79,Medium,1
8.86,0.191,46.32,Medium,1
62.69,0.343,45.54,Low,0
4.28,0.349,16.92,Medium,1
50.61,0.269,10.05,Medium,0
39.73,0.073,39.82,High,0
58.76,0.893,29.48,High,0
39.45,0.824,10.6,Low,0
47.04,0.314,4.9,Medium,1
34.08,0.644,27.74,Low,0
41.98,0.536,16.73,High,1
18.4,0.624,7.43,Medium,1
13.53,0.148,3.56,Medium,1
14.13,0.054,9.49,Medium,1
51.18,0.544,53.55,Medium,0
14.39,0.263,86.42,Medium,0
1.0,0.0,2.52,High,1
38.85,0.612,27.33,Low,1
61.56,0.492,48.41,Medium,0
38.89,0.354,32.35,Medium,1
47.04,0.287,44.45,Medium,0
54.16,0.623,88.57,Low,0
17.97,0.076,98.85,Medium,0
61.72,0.094,5.03,Low,1
15.31,0.094,20.99,Medium,1
46.8,0.607,70.4,Low,0
1.0,0.205,4.24,Medium,0
16.05,0.155,10.71,Medium,1
19.86,0.633,21.27,Low,1
21.7,0.376,86.7,High,0
54.54,0.12,20.27,Medium,1
42.46,0.128,58.47,Low,0
11.87,0.061,39.43,Low,1
40.47,0.517,10.23,Low,1
38.27,0.11,0.0,Low,1
43.14,0.411,7.19,Medium,1
21.74,0.191,78.0,High,0
40.0,0.301,4.94,High,1
28.57,0.374,29.74,Medium,1
39.67,0.162,23.02,Medium,1
3.32,0.0,43.31,High,1
15.59,0.258,37.77,High,1
1.0,0.125,8.46,Medium,0
25.9,0.087,3.45,Medium,1
56.54,0.183,9.65,High,1
17.06,0.077,7.11,Medium,1
19.58,0.119,6.51,Medium,1
9.57,0.655,25.55,Medium,1
24.73,0.0,10.69,Medium,1
4.27,0.181,12.48,Medium,1
19.84,0.114,107.48,High,0
30.89,0.439,22.13,High,1
40.17,0.36,108.4,Low,0
30.11,0.542,20.62,Low,1
17.93,0.803,39.43,Low,1
47.87,0.22,0.0,Low,1
14.42,0.065,18.19,High,1
33.9,0.371,52.9,Medium,0
1.0,0.279,75.99,Medium,1
12.76,0.134,25.52,High,1
40.19,0.27,106.43,High,0
53.83,0.085,14.9,Low,1
47.32,0.101,14.13,High,1
17.47,0.611,35.63,High,1
46.98,0.64,76.69,High,0
15.53,0.287,33.95,Medium,1
16.16,0.117,10.61,Medium,1
